Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Cantábrico Oriental;NO;Añarbe;Añarbe;38;34;0;0;0;
2018;7;Cantábrico Oriental;NO;Ibiur;Ibiur;8;8;0;0;0;
2018;7;Cantábrico Oriental;NO;Ordunte;Ordunte;22;22;0;0;0;
2018;7;Cantábrico Oriental;NO;San Antón;Endara;5;5;0;0;0;
2018;7;Cantábrico Occidental;NO;Alfilorios;Barrea;8;8;1;0;0;
2018;7;Cantábrico Occidental;SI;Alsa - Mediajo;Torina;22;21;-1;27;17;
2018;7;Cantábrico Occidental;SI;Arbón;Navia;41;39;1;1;1;
2018;7;Cantábrico Occidental;SI;Barca, La;Narcea;34;18;2;3;1;
2018;7;Cantábrico Occidental;SI;Cohilla, La;Nansa;12;6;-1;16;8;
2018;7;Cantábrico Occidental;SI;Doiras;Navia;97;90;3;19;17;
2018;7;Cantábrico Occidental;NO;Rioseco;Nalón;4;3;-1;0;0;
2018;7;Cantábrico Occidental;SI;Salime;Navia;266;182;-4;104;65;
2018;7;Cantábrico Occidental;NO;Tanes;Nalón;34;22;-3;6;3;
2018;7;Miño - Sil;SI;Albarellos;Avia;91;29;-8;32;8;
2018;7;Miño - Sil;SI;Bao;Bibey;238;171;6;290;194;
2018;7;Miño - Sil;NO;Bárcena;Sil;341;147;0;333;99;
2018;7;Miño - Sil;SI;Belesar;Miño;655;337;64;370;165;
2018;7;Miño - Sil;SI;Campañana, La;Sil;14;10;2;8;5;
2018;7;Miño - Sil;SI;Castrelo;Miño;60;51;-3;4;3;
2018;7;Miño - Sil;SI;Cenza;Cenza;40;25;0;112;65;
2018;7;Miño - Sil;SI;Chandrexa;Navea;61;41;-2;101;63;
2018;7;Miño - Sil;SI;Conchas, Las;Limia;80;31;-1;30;10;
2018;7;Miño - Sil;SI;Edrada-Mao;Mao;14;8;-1;22;13;
2018;7;Miño - Sil;SI;Frieira;Miño;44;37;0;1;1;
2018;7;Miño - Sil;SI;Guístolas;Navea;5;4;0;4;3;
2018;7;Miño - Sil;SI;Matalavilla;Valseco;65;32;-5;115;49;
2018;7;Miño - Sil;SI;Montefurado;Bibey-Sil;10;10;0;4;4;
2018;7;Miño - Sil;SI;Peares, Os;Miño;182;178;0;50;49;
2018;7;Miño - Sil;SI;Peñarrubia;Sil;13;12;0;5;5;
2018;7;Miño - Sil;SI;Pías (San Agustín);Bibey;10;6;0;19;10;
2018;7;Miño - Sil;SI;Portas, Las;Camba;536;164;-14;906;182;
2018;7;Miño - Sil;SI;Prada;Jares;122;69;1;221;122;
2018;7;Miño - Sil;SI;Rozas, Las;Sil;28;12;-2;55;22;
2018;7;Miño - Sil;SI;Salas;Salas;87;33;1;79;28;
2018;7;Miño - Sil;SI;San. Estevo;Sil;213;194;5;77;69;
2018;7;Miño - Sil;SI;San Martiño;Sil;10;9;0;2;2;
